nb,vertices,support
777,"[190162, 190166, 190624, 190824, 246171]",87
778,"[190162, 190166, 190624, 190824, 191040]",87
58,"[190166, 246171, 254723, 670716]",87
780,"[190162, 190166, 271009, 190624]",87
781,"[190162, 190166, 271009, 190624, 246171]",87
782,"[190162, 190166, 271009, 190624, 190629]",87
783,"[190162, 190166, 271009, 190624, 191040]",87
784,"[190162, 190166, 271009, 190624, 190824]",87
785,"[190162, 190166, 271009, 670716]",87
786,"[190162, 190166, 271009, 670716, 190624]",87
787,"[190162, 190166, 271009, 670716, 1059712]",87
57,"[190166, 246171, 254723, 271009, 190624]",87
789,"[190162, 190166, 271009, 1059712, 190624]",87
790,"[190162, 190166, 271009, 190624]",87
60,"[190166, 246171, 254723, 1059712]",87
765,"[190162, 190166, 190624, 246171, 271009]",87
740,"[190166, 190824, 190624, 246171, 271009]",87
764,"[190162, 190166, 190624, 246171]",87
741,"[190166, 190824, 190624, 246171, 670716]",87
742,"[190166, 190824, 190624, 246171, 1059712]",87
743,"[190166, 190824, 190624, 246171, 271009]",87
744,"[190166, 190824, 190624, 246171, 254723]",87
745,"[190166, 190824, 190624, 190629]",87
746,"[190166, 190824, 190624, 190629, 271009]",87
747,"[190166, 190824, 190624, 190629, 246171]",87
748,"[190166, 190824, 190624, 190629, 670716]",87
749,"[190166, 190824, 190624, 190629, 1059712]",87
750,"[190166, 190824, 190624, 190629, 271009]",87
751,"[190166, 190824, 190624, 190629, 246171]",87
752,"[190166, 190824, 190624, 190629, 191040]",87
753,"[190166, 190824, 190624, 191040]",87
754,"[190166, 190824, 190624, 191040, 271009]",87
755,"[190166, 190824, 190624, 191040, 246171]",87
756,"[190166, 190824, 190624, 191040, 670716]",87
757,"[190166, 190824, 190624, 191040, 1059712]",87
758,"[190166, 190824, 190624, 191040, 271009]",87
759,"[190166, 190824, 190624, 191040, 246171]",87
63,"[190166, 246171, 190624]",87
62,"[190166, 246171, 190629, 1059712]",87
61,"[190166, 246171, 190629]",87
763,"[190162, 190166, 190624, 271009]",87
688,"[190166, 190824, 271009, 1059712]",87
686,"[190166, 190824, 271009, 670716]",87
792,"[190162, 190166, 271009, 190624, 670716]",87
618,"[190162, 190624, 190166, 190629, 191040]",87
86,"[190166, 246171, 190624, 190629, 190824]",87
608,"[190162, 190624, 190824, 190166, 670716]",87
85,"[190166, 246171, 190624, 190629, 191040]",87
84,"[190166, 246171, 190624, 190629, 271009]",87
611,"[190162, 190624, 190166, 271009]",87
612,"[190162, 190624, 190166, 246171]",87
613,"[190162, 190624, 190166, 246171, 271009]",87
614,"[190162, 190624, 190166, 246171, 254723]",87
83,"[190166, 246171, 190624, 190629, 254723]",87
616,"[190162, 190624, 190166, 190629, 271009]",87
617,"[190162, 190624, 190166, 190629, 246171]",87
619,"[190162, 190624, 190166, 190629, 190824]",87
685,"[190166, 190824, 271009]",87
620,"[190162, 190624, 190166, 191040]",87
621,"[190162, 190624, 190166, 191040, 271009]",87
622,"[190162, 190624, 190166, 191040, 246171]",87
82,"[190166, 246171, 190624, 190629, 1059712]",87
624,"[190162, 190624, 190166, 190824, 271009]",87
625,"[190162, 190624, 190166, 190824, 246171]",87
626,"[190162, 190624, 190166, 190824, 191040]",87
627,"[190162, 190624, 190166, 271009]",87
628,"[190162, 190624, 190166, 271009]",87
629,"[190162, 190624, 190166, 271009, 246171]",87
630,"[190162, 190624, 190166, 271009, 190629]",87
606,"[190162, 190624, 190824, 190166, 246171]",87
605,"[190162, 190624, 190824, 190166, 271009]",87
604,"[190162, 190624, 190824, 190166, 191040]",87
603,"[190162, 190624, 190824, 190166, 246171]",87
580,"[190162, 190624, 190629, 190166, 246171]",87
581,"[190162, 190624, 190629, 190166, 670716]",87
582,"[190162, 190624, 190629, 190166, 190824]",87
583,"[190162, 190624, 190629, 190166, 1059712]",87
584,"[190162, 190624, 191040]",87
585,"[190162, 190624, 191040, 271009]",87
586,"[190162, 190624, 191040, 271009, 190166]",87
587,"[190162, 190624, 191040, 246171]",87
588,"[190162, 190624, 191040, 246171, 271009]",87
589,"[190162, 190624, 191040, 246171, 254723]",87
590,"[190162, 190624, 191040, 246171, 190166]",87
88,"[190166, 246171, 190624, 191040, 271009]",87
592,"[190162, 190624, 190824, 271009]",87
593,"[190162, 190624, 190824, 271009, 190166]",87
594,"[190162, 190624, 190824, 246171]",87
595,"[190162, 190624, 190824, 246171, 271009]",87
596,"[190162, 190624, 190824, 246171, 254723]",87
597,"[190162, 190624, 190824, 246171, 190166]",87
598,"[190162, 190624, 190824, 191040]",87
